date,usd,eur
2016-08-29,0.30782,0.27557
2016-09-05,0.30972,0.27597
2016-09-12,0.30318,0.26988
2016-09-19,0.30925,0.27637
2016-09-26,0.30881,0.27528
2016-10-03,0.30922,0.27641
2016-10-10,0.31224,0.28232
2016-10-17,0.31466,0.28694
2016-10-24,0.31847,0.29199
2016-10-31,0.31067,0.28128
2016-11-07,0.30614,0.27871
2016-11-14,0.29196,0.27241
2016-11-21,0.2955,0.27882
2016-11-28,0.29233,0.27542
2016-12-05,0.29267,0.2736
2016-12-12,0.29796,0.28265
2016-12-19,0.30003,0.28797
2016-12-26,0.30604,0.29259
2017-01-02,0.3088,0.29479
2017-01-09,0.31293,0.29564
2017-01-16,0.31135,0.2924
2017-01-23,0.31547,0.29437
2017-01-30,0.31966,0.2975
2017-02-06,0.32054,0.30027
2017-02-13,0.32409,0.30511
2017-02-20,0.32401,0.30654
2017-02-27,0.32141,0.3044
2017-03-06,0.31827,0.30093
2017-03-13,0.31899,0.29879
2017-03-20,0.32203,0.29845
2017-03-27,0.31918,0.29595
2017-04-03,0.32048,0.30072
2017-04-10,0.31895,0.3007
2017-04-17,0.31972,0.29847
2017-04-24,0.3168,0.29093
2017-05-01,0.3151,0.28829
2017-05-08,0.31534,0.28959
2017-05-15,0.31699,0.28581
2017-05-22,0.30557,0.27254
2017-05-29,0.30784,0.27476
2017-06-05,0.30539,0.27203
2017-06-12,0.30396,0.27152
2017-06-19,0.3014,0.26985
2017-06-26,0.30272,0.26712
2017-07-03,0.30238,0.26594
2017-07-10,0.30871,0.27045
2017-07-17,0.3171,0.2749
2017-07-24,0.31752,0.27181
2017-07-31,0.32019,0.27091
2017-08-07,0.31807,0.27028
2017-08-14,0.31494,0.26831
2017-08-21,0.31757,0.26937
2017-08-28,0.31674,0.26557
2017-09-04,0.32135,0.26889
2017-09-11,0.32067,0.26832
2017-09-18,0.31972,0.26734
2017-09-25,0.31556,0.26752
2017-10-02,0.31737,0.27017
2017-10-09,0.31533,0.26705
2017-10-16,0.31542,0.26747
2017-10-23,0.30871,0.2632
2017-10-30,0.30603,0.26307
2017-11-06,0.30619,0.26385
2017-11-13,0.30536,0.25964
2017-11-20,0.3077,0.26087
2017-11-27,0.30892,0.26004
2017-12-04,0.30726,0.26015
2017-12-11,0.30183,0.256
2017-12-18,0.30329,0.25627
2017-12-25,0.3025,0.25333
2018-01-01,0.30729,0.25501
2018-01-08,0.30927,0.25751
2018-01-15,0.31118,0.25423
2018-01-22,0.31442,0.25486
2018-01-29,0.31524,0.25337
2018-02-05,0.30676,0.24887
2018-02-12,0.30621,0.24734
2018-02-19,0.30764,0.24957
2018-02-26,0.30792,0.25108
2018-03-05,0.30848,0.2494
2018-03-12,0.30613,0.24812
2018-03-19,0.30325,0.2464
2018-03-26,0.30152,0.24363
2018-04-02,0.29996,0.24447
2018-04-09,0.29468,0.23884
2018-04-16,0.29386,0.23773
2018-04-23,0.28839,0.23687
2018-04-30,0.28424,0.23663
2018-05-07,0.28077,0.23608
2018-05-14,0.27328,0.23065
2018-05-21,0.27252,0.23227
2018-05-28,0.26847,0.23064
2018-06-04,0.26262,0.22345
2018-06-11,0.26892,0.22918
2018-06-18,0.2663,0.22992
2018-06-25,0.26236,0.22528
2018-07-02,0.25628,0.21949
2018-07-09,0.25855,0.22083
2018-07-16,0.25976,0.2228
2018-07-23,0.26687,0.22827
2018-07-30,0.26694,0.22885
2018-08-06,0.26603,0.23019
2018-08-13,0.25604,0.22503
2018-08-20,0.24905,0.21579
2018-08-27,0.24232,0.20766
2018-09-03,0.24202,0.20864
2018-09-10,0.24169,0.20821
2018-09-17,0.24169,0.20634
2018-09-24,0.24592,0.20994
2018-10-01,0.25427,0.22032
2018-10-08,0.2663,0.23132
2018-10-15,0.26898,0.23319
2018-10-22,0.26984,0.23621
2018-10-29,0.27158,0.23913
